"Database","Pathway","Comparison","N_Comparisons","Recurrence"
"GO-BP","negative regulation of innate immune response","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","negative regulation of response to biotic stimulus","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","negative regulation of response to external stimulus","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","negative regulation of viral genome replication","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","negative regulation of viral process","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","organ or tissue specific immune response","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","pattern recognition receptor signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","positive regulation of cytokine production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","positive regulation of innate immune response","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","positive regulation of interferon-beta production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","positive regulation of response to biotic stimulus","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","positive regulation of tumor necrosis factor production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","positive regulation of tumor necrosis factor superfamily cytokine production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","positive regulation of type I interferon production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of cytokine-mediated signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of immune effector process","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of innate immune response","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of interferon-beta production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of response to cytokine stimulus","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of tumor necrosis factor production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of tumor necrosis factor superfamily cytokine production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of type I interferon-mediated signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of type I interferon production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of viral genome replication","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of viral life cycle","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","regulation of viral process","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","response to fungus","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","response to interferon-beta","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","response to type I interferon","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","response to virus","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","tumor necrosis factor production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","tumor necrosis factor superfamily cytokine production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","type I interferon-mediated signaling pathway","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","type I interferon production","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","viral genome replication","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","viral life cycle","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","viral process","D3_vs_D0; D7_vs_D0; D7_vs_D3",3,"All_3_Comparisons"
"GO-BP","activated T cell proliferation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","acute inflammatory response to antigenic stimulus","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","D7_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","antibacterial humoral response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","antibody-dependent cellular cytotoxicity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","antimicrobial humoral response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","B cell mediated immunity","D7_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","biological process involved in interaction with host","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","biological process involved in symbiotic interaction","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","canonical NF-kappaB signal transduction","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cell activation involved in immune response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cell chemotaxis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cell killing","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cell surface toll-like receptor signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular defense response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular extravasation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular response to biotic stimulus","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular response to external stimulus","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular response to interferon-beta","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular response to interleukin-1","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular response to lipopolysaccharide","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular response to mechanical stimulus","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular response to molecule of bacterial origin","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular response to tumor necrosis factor","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cellular response to type II interferon","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","chemotaxis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","cytokine production involved in immune response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","disruption of anatomical structure in another organism","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","disruption of cell in another organism","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","erythrocyte development","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","erythrocyte differentiation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","erythrocyte homeostasis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","exocytosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","glial cell activation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","granulocyte activation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","homeostasis of number of cells","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","humoral immune response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","immune response-activating cell surface receptor signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","immune response-regulating cell surface receptor signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","immunoglobulin mediated immune response","D7_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","interferon-alpha production","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","killing of cells of another organism","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","leukocyte activation involved in immune response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","leukocyte chemotaxis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","leukocyte degranulation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","leukocyte mediated cytotoxicity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","leukocyte migration","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","lymphocyte mediated immunity","D7_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","macrophage activation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","mast cell activation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","mast cell activation involved in immune response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","mast cell degranulation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","mast cell mediated immunity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","mononuclear cell migration","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","myeloid cell activation involved in immune response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","myeloid cell development","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","myeloid cell differentiation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","myeloid cell homeostasis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","myeloid leukocyte activation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","myeloid leukocyte differentiation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","myeloid leukocyte mediated immunity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","myeloid leukocyte migration","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","negative regulation of cytokine-mediated signaling pathway","D3_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","negative regulation of leukocyte mediated immunity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","negative regulation of response to cytokine stimulus","D3_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","negative regulation of type I interferon-mediated signaling pathway","D3_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","negative regulation of viral transcription","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","neutrophil-mediated killing of symbiont cell","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","neutrophil activation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","phagocytosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of apoptotic process","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of canonical NF-kappaB signal transduction","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of cellular extravasation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of chemokine production","D7_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","positive regulation of cytokine-mediated signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of defense response to virus by host","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of immune effector process","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of inflammatory response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of interferon-alpha production","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of leukocyte chemotaxis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of leukocyte migration","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of non-canonical NF-kappaB signal transduction","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of pattern recognition receptor signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of response to cytokine stimulus","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","positive regulation of type II interferon production","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","production of molecular mediator of immune response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","pyroptotic inflammatory response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of binding","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of biological process involved in symbiotic interaction","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of canonical NF-kappaB signal transduction","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of cellular extravasation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of chemotaxis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of cytokine production involved in immune response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of cytoplasmic pattern recognition receptor signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of defense response to virus","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of defense response to virus by host","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of inflammatory response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of interferon-alpha production","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of leukocyte chemotaxis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of leukocyte mediated immunity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of leukocyte migration","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of lymphocyte migration","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of mononuclear cell migration","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of myeloid cell differentiation","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of myeloid leukocyte mediated immunity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of pattern recognition receptor signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of phagocytosis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of production of molecular mediator of immune response","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","regulation of type II interferon production","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","response to dsRNA","D3_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","response to exogenous dsRNA","D3_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","response to interferon-alpha","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","response to lipopolysaccharide","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","response to mechanical stimulus","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","response to molecule of bacterial origin","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","response to tumor necrosis factor","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","response to type II interferon","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","RIG-I signaling pathway","D3_vs_D0; D7_vs_D3",2,"2_Comparisons"
"GO-BP","T cell mediated immunity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","taxis","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","toll-like receptor 7 signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","tumor necrosis factor-mediated signaling pathway","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","type II hypersensitivity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","type II interferon production","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","type IIa hypersensitivity","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","viral gene expression","D3_vs_D0; D7_vs_D0",2,"2_Comparisons"
"GO-BP","acute-phase response","D7_vs_D0",1,"1_Comparison"
"GO-BP","acute inflammatory response","D7_vs_D0",1,"1_Comparison"
"GO-BP","adaptive thermogenesis","D7_vs_D0",1,"1_Comparison"
"GO-BP","alpha-beta T cell activation","D7_vs_D0",1,"1_Comparison"
"GO-BP","antimicrobial humoral immune response mediated by antimicrobial peptide","D3_vs_D0",1,"1_Comparison"
"GO-BP","base conversion or substitution editing","D7_vs_D0",1,"1_Comparison"
"GO-BP","blood coagulation","D3_vs_D0",1,"1_Comparison"
"GO-BP","calcium-mediated signaling","D3_vs_D0",1,"1_Comparison"
"GO-BP","cell surface pattern recognition receptor signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","cellular component disassembly","D3_vs_D0",1,"1_Comparison"
"GO-BP","cellular response to chemokine","D3_vs_D0",1,"1_Comparison"
"GO-BP","cellular response to interleukin-18","D3_vs_D0",1,"1_Comparison"
"GO-BP","chemokine-mediated signaling pathway","D3_vs_D0",1,"1_Comparison"
"GO-BP","chemokine (C-X-C motif) ligand 2 production","D7_vs_D3",1,"1_Comparison"
"GO-BP","chemokine production","D7_vs_D0",1,"1_Comparison"
"GO-BP","coagulation","D3_vs_D0",1,"1_Comparison"
"GO-BP","cold-induced thermogenesis","D7_vs_D0",1,"1_Comparison"
"GO-BP","complement receptor mediated signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","cytidine to uridine editing","D7_vs_D0",1,"1_Comparison"
"GO-BP","cytolysis","D7_vs_D0",1,"1_Comparison"
"GO-BP","defense response to protozoan","D7_vs_D0",1,"1_Comparison"
"GO-BP","dendritic cell chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","detection of bacterium","D7_vs_D0",1,"1_Comparison"
"GO-BP","detection of biotic stimulus","D7_vs_D0",1,"1_Comparison"
"GO-BP","detection of external biotic stimulus","D7_vs_D0",1,"1_Comparison"
"GO-BP","detection of molecule of bacterial origin","D7_vs_D0",1,"1_Comparison"
"GO-BP","detection of other organism","D7_vs_D0",1,"1_Comparison"
"GO-BP","endolysosomal toll-like receptor signaling pathway","D7_vs_D3",1,"1_Comparison"
"GO-BP","establishment of organelle localization","D7_vs_D0",1,"1_Comparison"
"GO-BP","establishment of vesicle localization","D7_vs_D0",1,"1_Comparison"
"GO-BP","estrogen receptor signaling pathway","D7_vs_D3",1,"1_Comparison"
"GO-BP","granulocyte chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","granulocyte migration","D3_vs_D0",1,"1_Comparison"
"GO-BP","hemostasis","D3_vs_D0",1,"1_Comparison"
"GO-BP","homotypic cell-cell adhesion","D3_vs_D0",1,"1_Comparison"
"GO-BP","host-mediated suppression of symbiont invasion","D3_vs_D0",1,"1_Comparison"
"GO-BP","hydrogen peroxide catabolic process","D3_vs_D0",1,"1_Comparison"
"GO-BP","hypersensitivity","D7_vs_D0",1,"1_Comparison"
"GO-BP","immune response-inhibiting cell surface receptor signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","immune response-inhibiting signal transduction","D7_vs_D0",1,"1_Comparison"
"GO-BP","immune system development","D7_vs_D0",1,"1_Comparison"
"GO-BP","induction of positive chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","inflammatory response to antigenic stimulus","D7_vs_D0",1,"1_Comparison"
"GO-BP","innate immune response activating cell surface receptor signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","interleukin-1 beta production","D7_vs_D0",1,"1_Comparison"
"GO-BP","interleukin-1 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","interleukin-10 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","interleukin-18-mediated signaling pathway","D3_vs_D0",1,"1_Comparison"
"GO-BP","interleukin-8 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","leukocyte activation involved in inflammatory response","D7_vs_D0",1,"1_Comparison"
"GO-BP","leukocyte homeostasis","D7_vs_D0",1,"1_Comparison"
"GO-BP","leukocyte proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","lipopolysaccharide-mediated signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","lymphocyte migration","D3_vs_D0",1,"1_Comparison"
"GO-BP","lymphocyte proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","mammary gland development","D7_vs_D3",1,"1_Comparison"
"GO-BP","megakaryocyte differentiation","D7_vs_D0",1,"1_Comparison"
"GO-BP","microglial cell activation","D7_vs_D0",1,"1_Comparison"
"GO-BP","modulation by symbiont of entry into host","D3_vs_D0",1,"1_Comparison"
"GO-BP","monocyte chemotactic protein-1 production","D7_vs_D3",1,"1_Comparison"
"GO-BP","monocyte chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","mononuclear cell proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of B cell activation","D3_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of chemokine production","D7_vs_D3",1,"1_Comparison"
"GO-BP","negative regulation of cold-induced thermogenesis","D7_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of exocytosis","D3_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of leukocyte activation","D7_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of megakaryocyte differentiation","D7_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of myeloid cell differentiation","D7_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of myeloid leukocyte differentiation","D3_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of phagocytosis","D3_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of regulated secretory pathway","D3_vs_D0",1,"1_Comparison"
"GO-BP","negative regulation of type I interferon production","D7_vs_D3",1,"1_Comparison"
"GO-BP","neuroinflammatory response","D7_vs_D0",1,"1_Comparison"
"GO-BP","neutrophil chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","neutrophil extravasation","D3_vs_D0",1,"1_Comparison"
"GO-BP","neutrophil mediated cytotoxicity","D3_vs_D0",1,"1_Comparison"
"GO-BP","neutrophil migration","D3_vs_D0",1,"1_Comparison"
"GO-BP","norepinephrine secretion","D3_vs_D0",1,"1_Comparison"
"GO-BP","nucleosome assembly","D7_vs_D0",1,"1_Comparison"
"GO-BP","nucleosome organization","D7_vs_D0",1,"1_Comparison"
"GO-BP","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","nucleotide-binding oligomerization domain containing 2 signaling pathway","D7_vs_D0",1,"1_Comparison"
"GO-BP","oxygen transport","D7_vs_D0",1,"1_Comparison"
"GO-BP","platelet activation","D3_vs_D0",1,"1_Comparison"
"GO-BP","platelet aggregation","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of binding","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of cell activation","D7_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of cytokine production involved in immune response","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of cytosolic calcium ion concentration","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of erythrocyte differentiation","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of granulocyte chemotaxis","D3_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of interleukin-1 beta production","D7_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of interleukin-1 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of interleukin-10 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of interleukin-6 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of interleukin-8 production","D7_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of leukocyte mediated immunity","D7_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of leukocyte proliferation","D7_vs_D0",1,"1_Comparison"
"GO-BP","positive regulation of lymphocyte migration","D3_vs_D0",1,"1_Comparison"
